Sentence,Sign Language
ඔන්න මම මේ පබලු ඇට දෙක බිමට දානවා.,මම මේ පබලු ඇට දෙක බිම දානවා
අහුලන්නකෝ බලන්න.,අහුලනවා බලනවා
හැබැයි මහපට ඇඟිල්ල නැතුව.,හැබැයි මහපට ඇඟිල්ල නෑ
සීයා පබලු ඇට දෙක තුනක් බිමට දැම්මා.,සීයා පබලු ඇට දෙක තුන බිමබිම දානවා
වැඩේ ලේසි වුණේ නැහැ.,"වැඩේ ලේසි නෑ,"
අහුලන්න අමාරුයි.,අහුලනවා අමාරු
ඊළඟට සීයා කිව්වේ හැරමිටිය අල්ලා ගන්න.,ඊළඟ සීයා කියනවා හැරමිටිය අල්ලාගන්නවා
මහපට ඇඟිල්ල නැතුව අල්ලලා අදින්න කියලත්.,මහපට ඇඟිල්ල නෑ අල්ලනවා අදිනවා කියනවා
හරියට කරන්න අමාරුයි වැඩි බලයක් යොදන්න බෑ.,හරි කරනවා අමාරු වැඩි බලය යොදන්න යොදනවා බෑ
සීයා කෝටුවක් දීලා වැල්ලේ ලියන්න කිව්වා.,සීයා කෝටුව දෙනවා වැල්ලෙ ලියනවා කියනවා
බලනකොට ඒ වැඩෙත් මහපට ඇඟිල්ල නැතුව අමාරුයි.,ඒ වැඩේ වැඩ මහපට ඇඟිල්ල නෑ අමාරු
හොඳයි ඇඟිලි දික් කරන්නකෝ.,හොඳ ඇඟිල්ල දික්කරනවා
මහපට ඇඟිල්ලේ තුඩ අනෙක් ඇඟිලිවල දුරට තියන්නකෝ.,මහපටඇඟිල්ල තුඩ අනිත් ඇඟිල්ල දුර තියනවා
දැන් මේ වගේ කරන්න පුලුවන් ඕනෑම ඇඟිල්ලක් තෝරලා මට පෙන්නන්න.,දැන් මේ පුලුවන් ඕනා ඇඟිල්ල තෝරනවා මට පෙන්නනවා
මම තෝරගත්තේ දබරැඟිල්ල,මම තෝරනවා දබර ඇඟිල්ල
අපට ඇඟිල්ල එක ඇඟිල්ලක තුඩක් වත් දබර ඇඟිල්ලට අල්ලන්න බෑ.,අපට ඇඟිල්ල තුඩ දබර ඇඟිල්ල අල්ලනවා බෑ
නංගි තෝරා ගත්තේ මැදගිල්ල.,නංගි තෝරාගන්නවා මැදගිල්ල.
ඒත් එහෙම වෙදගිල්ල හා සුලැඟිල්ල ඒ විදියටම තියලා බැලුවා.,වෙදගිල්ල හා සුලැඟිල්ල ඒක තියනවා බලනවා.
එකක්වත් තියන්න බෑ පුතේ.,ඒක තියනවා බෑ පුතා
මම කිව්වේ මාපට ඇඟිල්ල තමා ඇඟිලි පහෙන්ම ලොක්ක කියලා.,මම කියනවා මාපටඇඟිල්ල ඇඟිල්ල පහ ලොකු
මාපට ඇඟිල්ලේ අරුමය ගැන සිතා බැලුවා.,මාපට ඇඟිල්ල පුදුම හිතනවා.
මෙහෙම ප්‍රශ්නයක් ආවම මම ඒ ගැන තොරතුරු හොයනවා.,මේ ප්‍රශ්නය එනවා මම ඒක සොයනවා
පොතපත කියවනවා.,පොත පොතබලනවා
දන්න අයගෙන් අහනවා.,දන්නවා අහනවා
යමක් තදින් අල්ලා ගන්න.,යමක් තදින් අල්ලාගන්නවා
වතුර බෝතලයේ මූඩිය කරකවන්න.,වතුර බෝතලය මූඩිය කරකවනවා.
පැලයක් ගලවන්න වගේ දේවල් පහසුවෙන් කරගන්න පුලුවන් මාපට ඇඟිල්ල නිසා.,පැල ගලවන්නවා පහසු පුලුවන් මාපට ඇඟිල්ල
බිම වැටුණු යමක් ඇහිඳ ගන්නේ.,බිම වැටුණා දේවල් ඇහිදිනවා
පෑනකින් ලියන්නේ.,පෑන ලියනවා
පින්සලකින් අඳින්නේ.,පින්සල අදිනවා
ඒ වැඩ පහසුවෙන් කරගන්නේ මාපට ඇඟිල්ල නිසා,ඒ වැඩ පහසු කරගන්නවා මාපට ඇඟිල්ල
සතියේ දවස් පහම පාසල් යන අත්තම්මලා ඉන්නවා.,සතිය දවස් පහ පාසල් යනවා අච්චී ඉන්නවා
සිය දූ දරුවන්ගේ දරුවන් කැටුව නැවත පාසැල් යන මේ අත්තම්මලා වගේම අපේ අත්තම්මා දරුවන්ට ආදරෙයි.,තමා දරුවන් රැගෙනයනවා ආපහු පාසල් එනවා මේ ආච්චී අපේ අත්තම්මා දරුවන් ආදරෙයි
ඇය දිනපතා පාසලට එන්නේ යන්නේ තනිවම.,ඇය හැමදාම පාසල එනවා යනවා තනියම
උදේ හයට පමණ පාසල ළඟට එන ඇය එතැන සිටියේ.,උදේ හය පාසල ළඟ එනවා ඇය ඒ ඉන්නවා
පොලිසියේ හෝ වෙනත් ආරක්ෂක අංශයක සේවාවක් නැතත් නිල නොලත් එවැනිම රාජකාරියක් ඇය නියලෙනුයේ සුවච්ඡාවෙන්මයම,පොලිසිය වෙන ආරක්ෂා සේවාව නෑ ඒ රාජකාරිය ඇය කරනවා කැමති
ඇය සේවයට එනවා.,ඇය සේවය එනවා.
පාසලට එන දරුවන් ආරක්ෂිතව පාර මාරු කරනවා.,පාසල එනවා දරුවන් ආරක්ෂා පාර මාරුකරනවා.
පාසල් බස් රථ වෑන් රථ මෙන්ම පාසලට ඉදිරියෙන් එහා මෙහා යනවා.,පාසල බසය වෑන්රථ පාසල එලිය යනවා
වෙනත් වාහන ද කඩිසරව හසුරවනවා.,වෙන වාහන කඩිසර හසුරවනවා.
දරුවන්ගේ රැකවරණය පතා විටෙක සිය දැඩි අණසක පතුරන ඇයගේ මේ සේවය ඒ කාටත් පහසුවකි.,දරුවන් ආරක්ශා හිතනවා දැඩි අණදෙනවා පතුරනවා ඇය මේ සේවය ඒ හැමෝම පහසු
ඇය දරුවන්ට මෙන්ම වැඩිහිටියන්ටද මාර්ග නීති මතක් කර දෙනවා.,ඇය දරුවන් වැඩිහිටියෝ මාර්ග නීති මතක්කරනවා
ඇතැම් රියදුරන්ට තදින් අවවාද කරනවා.,රියදුරන් තදින් අවවාදකරනවා
දරුවන්ට කරුණාවෙන් මග පෙන්නනවා.,දරුවන් කරුණාව මගපෙන්නනවා.
මේ අත්තම්මාගේ වයස අවුරුදු අසූවක් පැනල,මේ ආච්චී වයස අවුරුදු අසූව වැඩි
අවුරුදු හතලිහකට වැඩි කාලයක් ඇය එක දිගට දරුවන් වෙනුවෙන් කැප වූ නමුත් මේ අත්තම්මාගේ රාජකාරියට මාසික වැටුප් නැත.,අවුරුදු හතලිහ වැඩි කාලය ඇය දරුවන් මහන්සිවෙනවා නමුත් මේ ආච්චී රාජකාරිය මාසික වැටුප් නෑ
